Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
5091982243,DAF3142,NY,PAS,06/09/2013,7,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,0729P,,QN,,,ASTORIA BLVD (W/B) @,STEINWAY ST,0,1111,D,T,,,,GY,,2004,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091982206,FPF6392,NY,PAS,06/09/2013,7,SUBN,JEEP,V,0,0,0,0,,0,0,0,,,0727P,,QN,,,ASTORIA BLVD (E/B) @,STEINWAY ST,0,1111,D,T,,,,RD,,2011,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091982190,8BT7849,MD,PAS,06/09/2013,7,VN,HONDA,V,0,0,0,0,,0,0,0,,,0727P,,QN,,,EB QUEENS BLVD @ GRA,ND AVE / BROADWAY,0,1111,D,T,,,,,,2004,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091982188,EJE6822,NY,PAS,06/09/2013,7,4DSD,FORD,V,0,0,0,0,,0,0,0,,,0727P,,QN,,,EB QUEENS BLVD @ 71S,T AVE / CONTINENTAL,0,1111,D,T,,,,GY,,2005,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091982152,FWT6899,NY,PAS,06/09/2013,7,4DSD,INFIN,V,0,0,0,0,,0,0,0,,,0725P,,QN,,,NORTHERN BLVD (E/B),@ DOUGLASTON PKWY,0,1111,D,T,,,,GY,,2015,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091982140,ETJ4738,NY,PAS,06/09/2013,7,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,0723P,,QN,,,ASTORIA BLVD (W/B) @,STEINWAY ST,0,1111,D,T,,,,GY,,2012,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091982139,FLX6540,NY,PAS,06/09/2013,7,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,0723P,,QN,,,HORACE HARDING EXPWY,(E/B) @ 173RD ST,0,1111,D,T,,,,BK,,2009,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091982127,486FUT,KS,PAS,06/09/2013,7,SW,MAZDA,V,0,0,0,0,,0,0,0,,,0722P,,QN,,,QUEENS BLVD (E/B) @,70TH ST,0,1111,D,T,,,,BLACK,,2014,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091982097,DHT7071,NY,PAS,06/09/2013,7,SUBN,GMC,V,0,0,0,0,,0,0,0,,,0719P,,BX,,,W FORDHAM RD (W/B) @,CEDAR AVE,0,1111,D,T,,,,GY,,2010,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091982073,AEC1018,GA,PAS,06/09/2013,7,4S,NISSA,V,0,0,0,0,,0,0,0,,,0715P,,BK,,,ATLANTIC AVE (E/B) @,LOGAN ST,0,1111,D,T,,,,WHI,,2004,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091982061,82861KA,NY,COM,06/09/2013,7,VAN,FORD,V,0,0,0,0,,0,0,0,,,0715P,,QN,,,QUEENS BLVD (E/B) @,70TH ST,0,1111,D,T,,,,WH,,2003,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091982048,ECD2104,NY,PAS,06/09/2013,7,SUBN,ME/BE,V,0,0,0,0,,0,0,0,,,0714P,,QN,,,EB QUEENS BLVD @ 71S,T AVE / CONTINENTAL,0,1111,D,T,,,,WH,,2010,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091982036,1N11A,NY,OMT,06/09/2013,7,TAXI,TOYOT,V,0,0,0,0,,0,0,0,,,0714P,,BK,,,ATLANTIC AVE (W/B) @,NOSTRAND AVE,0,1111,D,T,,,,YW,,2013,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981950,2CB8643,MD,PAS,06/09/2013,7,TK,TOYOT,V,0,0,0,0,,0,0,0,,,0711P,,BK,,,OCEAN PKWY (N/B) @ S,HORE PKWY,0,1111,D,T,,,,,,2013,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981925,31838MB,NY,COM,06/09/2013,7,PICK,FORD,V,0,0,0,0,,0,0,0,,,0709P,,QN,,,39TH ST (N/B) @ NORT,HERN BLVD,0,1111,D,T,,,,GR,,1996,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981834,CXZ4672,NY,PAS,06/09/2013,7,SUBN,DODGE,V,0,0,0,0,,0,0,0,,,0704P,,BX,,,GRAND CONCOURSE (N/B,) @ E 162ND ST,0,1111,D,T,,,,GY,,2005,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981810,75SV38,NY,MOT,06/09/2013,7,MCY,YAMAH,V,0,0,0,0,,0,0,0,,,0704P,,BK,,,WILLIAMSBURG ST (S/B,) @ FLUSHING AVE,0,1111,D,T,,,,OR,,1975,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981792,57EMTP,NY,SRF,06/09/2013,7,SUBN,ACURA,V,0,0,0,0,,0,0,0,,,0703P,,BK,,,MCDONALD AVE (S/B) @,VANDERBILT ST,0,1111,D,T,,,,GY,,2013,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981780,EEL7243,NY,PAS,06/09/2013,7,SUBN,MITSU,V,0,0,0,0,,0,0,0,,,0703P,,BX,,,W FORDHAM RD (W/B) @,CEDAR AVE,0,1111,D,T,,,,BKRD,,2005,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981755,FBD3168,NY,PAS,06/09/2013,7,PICK,CHEVR,V,0,0,0,0,,0,0,0,,,0702P,,BK,,,4TH AVE (S/B) @ 60TH,ST,0,1111,D,T,,,,GY,,2010,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981731,AGG8390,NY,PAS,06/09/2013,7,SUBN,LEXUS,V,0,0,0,0,,0,0,0,,,0702P,,BK,,,WILLIAMSBURG ST (S/B,) @ FLUSHING AVE,0,1111,D,T,,,,BL,,2013,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981720,EHP9218,NY,PAS,06/09/2013,7,SUBN,ME/BE,V,0,0,0,0,,0,0,0,,,0701P,,BK,,,ATLANTIC AVE (W/B) @,KINGSTON AVE,0,1111,D,T,,,,GY,,2015,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981706,DPC6300,NY,PAS,06/09/2013,7,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,0700P,,QN,,,QUEENS BLVD (E/B) @,ASCAN AVE,0,1111,D,T,,,,WH,,2006,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981690,B71GJT,NJ,PAS,06/09/2013,7,4 DR,HONDA,V,0,0,0,0,,0,0,0,,,0700P,,QN,,,QUEENS BLVD (E/B) @,ASCAN AVE,0,1111,D,T,,,,RD,,2004,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981676,460WDX,FL,PAS,06/09/2013,7,2D,HONDA,V,0,0,0,0,,0,0,0,,,0658P,,BK,,,ATLANTIC AVE (W/B) @,NOSTRAND AVE,0,1111,D,T,,,,GRY,,2009,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981652,FWM3652,NY,PAS,06/09/2013,7,SUBN,JEEP,V,0,0,0,0,,0,0,0,,,0657P,,BK,,,ATLANTIC AVE (E/B) @,LOGAN ST,0,1111,D,T,,,,BK,,0,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981640,FAH8140,NY,PAS,06/09/2013,7,SUBN,ROVER,V,0,0,0,0,,0,0,0,,,0656P,,BK,,,SB OCEAN PKWY @ AVEN,UE I,0,1111,D,T,,,,BK,,2013,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981627,788LVF,KY,PAS,06/09/2013,7,4D,HONDA,V,0,0,0,0,,0,0,0,,,0656P,,BK,,,WILLIAMSBURG ST (S/B,) @ FLUSHING AVE,0,1111,D,T,,,,GRY,,2004,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981585,1558QA,FL,PAS,06/09/2013,7,UT,FORD,V,0,0,0,0,,0,0,0,,,0654P,,BK,,,FLATBUSH AVE (N/B) @,GLENWOOD RD,0,1111,D,T,,,,GRY,,2007,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981561,AUE2848,NY,PAS,06/09/2013,7,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0655P,,QN,,,QUEENS BLVD (E/B) @,70TH ST,0,1111,D,T,,,,GY,,2013,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981536,CCG2855,NY,PAS,06/09/2013,7,4DSD,CADIL,V,0,0,0,0,,0,0,0,,,0653P,,BK,,,EASTERN PKWY (W/B) @,BEDFORD AVE,0,1111,D,T,,,,BK,,2011,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981512,ANGNBEN,NY,SRF,06/09/2013,7,4DSD,FORD,V,0,0,0,0,,0,0,0,,,0651P,,QN,,,WB NORTHERN BLVD @ 4,8TH ST,0,1111,D,T,,,,GL,,2011,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981500,CJZ2109,NY,PAS,06/09/2013,7,SUBN,CHEVR,V,0,0,0,0,,0,0,0,,,0650P,,QN,,,SO CONDUIT AVE (E/B),@ 89TH ST,0,1111,D,T,,,,BK,,2015,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981469,FMN9179,NY,PAS,06/09/2013,7,SUBN,DODGE,V,0,0,0,0,,0,0,0,,,0647P,,QN,,,CROSSBAY BLVD (S/B),@ SUTTER AVE,0,1111,D,T,,,,GY,,2007,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981445,80369JN,NY,COM,06/09/2013,7,VAN,FORD,V,0,0,0,0,,0,0,0,,,0647P,,QN,,,NORTHERN BLVD (E/B),@ DOUGLASTON PKWY,0,1111,D,T,,,,WH,,2003,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981433,AJF6294,NY,PAS,06/09/2013,7,SUBN,BMW,V,0,0,0,0,,0,0,0,,,0645P,,ST,,,NARROWS RD (W/B) @ R,ICHMOND RD,0,1111,D,T,,,,BK,,2013,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981421,DTP5495,NY,PAS,06/09/2013,7,4DSD,HYUND,V,0,0,0,0,,0,0,0,,,0645P,,QN,,,QUEENS BLVD (E/B) @,39TH ST,0,1111,D,T,,,,GY,,2012,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981410,FOP1547,NY,ORG,06/09/2013,7,SUBN,LEXUS,V,0,0,0,0,,0,0,0,,,0645P,,QN,,,WB N CONDUIT AVE @ V,AN WYCK EXPWY SB / E,0,1111,D,T,,,,GY,,2013,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981408,AGU2994,NY,PAS,06/09/2013,7,4DSD,MITSU,V,0,0,0,0,,0,0,0,,,0644P,,BK,,,LINDEN BLVD (E/B) @,FOUNTAIN AVE,0,1111,D,T,,,,WH,,2001,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981380,FSX4083,NY,PAS,06/09/2013,7,4DSD,ME/BE,V,0,0,0,0,,0,0,0,,,0644P,,QN,,,HORACE HARDING EXPWY,(E/B) @ 173RD ST,0,1111,D,T,,,,BK,,2015,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981378,FWR4975,NY,PAS,06/09/2013,7,SUBN,JEEP,V,0,0,0,0,,0,0,0,,,0643P,,BK,,,ATLANTIC AVE (E/B) @,PENNSYLVANIA AVE,0,1111,D,T,,,,WH,,2012,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981305,ALN1973,NY,PAS,06/09/2013,7,SUBN,AUDI,V,0,0,0,0,,0,0,0,,,0635P,,BK,,,ATLANTIC AVE (E/B) @,LOGAN ST,0,1111,D,T,,,,WH,,2014,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981287,AWW1542,NY,PAS,06/09/2013,7,4DSD,MAZDA,V,0,0,0,0,,0,0,0,,,0634P,,QN,,,BEACH CHANNEL DR (W/,B) @ B 140TH ST,0,1111,D,T,,,,GY,,2012,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981226,FSV2084,NY,PAS,06/09/2013,7,SUBN,NISSA,V,0,0,0,0,,0,0,0,,,0630P,,QN,,,SO CONDUIT AVE (E/B),@ 89TH ST,0,1111,D,T,,,,GY,,2001,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981214,CMV7122,NY,PAS,06/09/2013,7,4DSD,ME/BE,V,0,0,0,0,,0,0,0,,,0630P,,QN,,,SUNRISE HWY (W/B) @,BROOKVILLE BLVD,0,1111,D,T,,,,WH,,2014,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981184,BXH4705,NY,PAS,06/09/2013,7,SUBN,CHEVR,V,0,0,0,0,,0,0,0,,,0627P,,BX,,,ALLERTON AVE (W/B) @,BARNES AVE,0,1111,D,T,,,,BK,,2005,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981172,ETAQ62,FL,PAS,06/09/2013,7,2D,TOYOT,V,0,0,0,0,,0,0,0,,,0627P,,QN,,,ASTORIA BLVD (E/B) @,STEINWAY ST,0,1111,D,T,,,,BLK,,0,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981159,DRR8287,NY,PAS,06/09/2013,7,4DSD,HONDA,V,0,0,0,0,,0,0,0,,,0627P,,QN,,,NORTHERN BLVD (E/B),@ DOUGLASTON PKWY,0,1111,D,T,,,,GY,,2006,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981068,EME8071,NY,PAS,06/09/2013,7,PICK,FORD,V,0,0,0,0,,0,0,0,,,0621P,,BK,,,WB ATLANTIC AVE @ LO,GAN ST,0,1111,D,T,,,,GR,,2005,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091981044,EGF5079,NY,PAS,06/09/2013,7,SUBN,MAZDA,V,0,0,0,0,,0,0,0,,,0620P,,BK,,,NB OCEAN PKWY @ AVEN,UE I,0,1111,D,T,,,,BK,,2013,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091980994,57960MJ,NY,COM,06/09/2013,7,VAN,GMC,V,0,0,0,0,,0,0,0,,,0616P,,QN,,,WB QUEENS BLVD @ 58T,H ST,0,1111,D,T,,,,WH,,2002,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091980982,D89DST,NJ,PAS,06/09/2013,7,4 DR,MAZDA,V,0,0,0,0,,0,0,0,,,0615P,,ST,,,NARROWS RD (W/B) @ C,LOVE RD,0,1111,D,T,,,,WT,,2013,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091980969,9L59B,NY,OMT,06/09/2013,7,SUBN,FORD,V,0,0,0,0,,0,0,0,,,0615P,,QN,,,VAN WYCK EXP SVC RD,(N/B) @ ROCKAWAY BLV,0,1111,D,T,,,,YW,,2012,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091980945,BRWNSKIN,NY,SRF,06/09/2013,7,4DSD,BMW,V,0,0,0,0,,0,0,0,,,0615P,,QN,,,NORTHERN BLVD (E/B),@ DOUGLASTON PKWY,0,1111,D,T,,,,WH,,2008,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091980933,FRA2621,NY,PAS,06/09/2013,7,SUBN,HONDA,V,0,0,0,0,,0,0,0,,,0614P,,BK,,,SB OCEAN PKWY @ AVEN,UE I,0,1111,D,T,,,,GY,,2014,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091980921,ELC4708,NY,PAS,06/09/2013,7,4DSD,NISSA,V,0,0,0,0,,0,0,0,,,0614P,,QN,,,SUNRISE HWY (W/B) @,BROOKVILLE BLVD,0,1111,D,T,,,,GY,,2015,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091980829,BJSR,NY,SRF,06/09/2013,7,4DSD,CADIL,V,0,27310,0,0,,0,0,0,,,0609P,,BX,,,BRUCKNER BLVD (E/B),@ WHITE PLAINS RD,0,1111,D,T,,,,BK,,2006,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091980787,71PD36,MA,PAS,06/09/2013,7,UT,SUBAR,V,0,0,0,0,,0,0,0,,,0608P,,QN,,,VAN WYCK EXP SVC RD,(N/B) @ ROCKAWAY BLV,0,1111,D,T,,,,,,2004,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091980775,ARE1049,NY,PAS,06/09/2013,7,4DSD,ACURA,V,0,0,0,0,,0,0,0,,,0607P,,QN,,,NORTHERN BLVD (E/B),@ 48TH ST,0,1111,D,T,,,,GY,,2014,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091980751,FHS1828,NY,PAS,06/09/2013,7,SUBN,SUBAR,V,0,0,0,0,,0,0,0,,,0606P,,QN,,,ASTORIA BLVD S (E/B),@ 77TH ST,0,1111,D,T,,,,GY,,2015,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091980740,ANGEL105,NY,SRF,06/09/2013,7,2DSD,VOLKS,V,0,0,0,0,,0,0,0,,,0606P,,QN,,,ASTORIA BLVD S (E/B),@ 77TH ST,0,1111,D,T,,,,WH,,2015,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091980726,EEF6895,NY,PAS,06/09/2013,7,SUBN,SUBAR,V,0,0,0,0,,0,0,0,,,0606P,,BK,,,MCDONALD AVE (S/B) @,VANDERBILT ST,0,1111,D,T,,,,GY,,2014,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091980714,D65FPA,NJ,PAS,06/09/2013,7,WAGO,DODGE,V,0,0,0,0,,0,0,0,,,0605P,,MN,,,AMSTERDAM AVE (N/B),@ 96TH STREET,0,1111,D,T,,,,GY,,2013,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091980696,F908GY,NY,PAS,06/09/2013,7,4DSD,HONDA,V,0,0,0,0,,0,0,0,,,0603P,,QN,,,NORTHERN BLVD (E/B),@ 48TH ST,0,1111,D,T,,,,BL,,2007,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091980684,FDJ8909,NY,PAS,06/09/2013,7,SUBN,HONDA,V,0,0,0,0,,0,0,0,,,0602P,,QN,,,QUEENS BLVD (E/B) @,39TH ST,0,1111,D,T,,,,GY,,2010,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091980659,48134MH,NY,COM,06/09/2013,7,VAN,CHEVR,V,0,0,0,0,,0,0,0,,,0602P,,QN,,,EB QUEENS BLVD @ GRA,ND AVE / BROADWAY,0,1111,D,T,,,,WH,,2005,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091980623,DXA3289,NY,PAS,06/09/2013,7,SUBN,NISSA,V,0,0,0,0,,0,0,0,,,0559P,,BK,,,ATLANTIC AVE (E/B) @,PENNSYLVANIA AVE,0,1111,D,T,,,,GY,,2001,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091980611,22432MC,NY,COM,06/09/2013,7,VAN,FORD,V,0,0,0,0,,0,0,0,,,0559P,,BK,,,ATLANTIC AVE (E/B) @,LOGAN ST,0,1111,D,T,,,,WH,,2009,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091980570,AJE7200,NY,PAS,06/09/2013,7,SUBN,HONDA,V,0,0,0,0,,0,0,0,,,0557P,,QN,,,QUEENS BLVD (E/B) @,39TH ST,0,1111,D,T,,,,WH,,2006,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091980532,DWE4167,NY,PAS,06/09/2013,7,SUBN,FORD,V,0,0,0,0,,0,0,0,,,0556P,,ST,,,CLOVE RD (N/B) @ BAR,D AVE,0,1111,D,T,,,,RD,,2013,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091980520,88643T1,CA,PAS,06/09/2013,7,PK,CHEVR,V,0,0,0,0,,0,0,0,,,0555P,,BK,,,JAMAICA AVE (E/B) @,PENNSYLVANIA AVE,0,1111,D,T,,,,,,2014,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091980519,EJL4156,NY,PAS,06/09/2013,7,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0555P,,QN,,,WB NORTHERN BLVD @ 4,8TH ST,0,1111,D,T,,,,WH,,2015,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091980507,FRJ3395,NY,OMS,06/09/2013,7,4DSD,CHEVR,V,0,0,0,0,,0,0,0,,,0554P,,QN,,,WOODHAVEN BLVD (N/B),@ YELLOWSTONE BLVD,0,1111,D,T,,,,BL,,2014,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091980477,EHD6992,NY,PAS,06/09/2013,7,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,0552P,,QN,,,QUEENS BLVD (E/B) @,70TH ST,0,1111,D,T,,,,BL,,2008,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091980453,AJX2502,NC,PAS,06/09/2013,7,4S,HONDA,V,0,0,0,0,,0,0,0,,,0552P,,BK,,,OCEAN PKWY (N/B) @ A,VE W,0,1111,D,T,,,,,,2012,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091980441,69109LA,NY,OML,06/09/2013,7,SUBN,FORD,V,0,0,0,0,,0,0,0,,,0552P,,BK,,,WB ATLANTIC AVE @ RO,CKAWAY AVE,0,1111,D,T,,,,WH,,2009,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091980430,DFX3383,NY,PAS,06/09/2013,7,SUBN,HONDA,V,0,0,0,0,,0,0,0,,,0551P,,QN,,,HORACE HARDING EXPWY,(E/B) @ UTOPIA PKWY,0,1111,D,T,,,,WH,,2015,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091980404,ERE1968,NY,PAS,06/09/2013,7,4DSD,ME/BE,V,0,0,0,0,,0,0,0,,,0549P,,QN,,,23RD AVE (E/B) @ 94T,H ST,0,1111,D,T,,,,BK,,2003,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091980398,15158LV,NY,OML,06/09/2013,7,VAN,VPG,V,0,0,0,0,,0,0,0,,,0548P,,BK,,,ATLANTIC AVE (E/B) @,BEDFORD AVE,0,1111,D,T,,,,WH,,2014,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091980374,DAE7279,NC,PAS,06/09/2013,7,MP,FORD,V,0,0,0,0,,0,0,0,,,0547P,,QN,,,QUEENS BLVD (E/B) @,70TH ST,0,1111,D,T,,,,,,2014,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091980349,EHZ1620,NY,PAS,06/09/2013,7,4DSD,HONDA,V,0,0,0,0,,0,0,0,,,0546P,,QN,,,SO CONDUIT AVE (E/B),@ 89TH ST,0,1111,D,T,,,,BK,,2010,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091980337,ESY1060,NY,PAS,06/09/2013,7,SUBN,VOLVO,V,0,0,0,0,,0,0,0,,,0545P,,ST,,,RICHMOND RD (W/B) @,NEW DORP LANE,0,1111,D,T,,,,BK,,2009,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091980325,FZK8144,NY,PAS,06/09/2013,7,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,0545P,,BK,,,MCDONALD AVE (S/B) @,VANDERBILT ST,0,1111,D,T,,,,GY,,2003,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091980301,8JC560,MA,PAS,06/09/2013,7,UT,AUDI,V,0,0,0,0,,0,0,0,,,0542P,,QN,,,HORACE HARDING EXPWY,(E/B) @ 173RD ST,0,1111,D,T,,,,,,2012,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091980295,DFF7805,NY,PAS,06/09/2013,7,4DSD,CHRYS,V,0,0,0,0,,0,0,0,,,0542P,,ST,,,CLOVE RD (N/B) @ BAR,D AVE,0,1111,D,T,,,,BK,,0,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091980271,994WPU,CT,PAS,06/09/2013,7,4W,LEXUS,V,0,0,0,0,,0,0,0,,,0541P,,QN,,,HORACE HARDING EXPWY,(E/B) @ 173RD ST,0,1111,D,T,,,,WHI,,2012,,0,,FAILURE TO STOP AT RED LIGHT,,,
